itemid	pLIax1zKPXRCdlnCOLHzy	IChfsjDJrJsfQDRVM9EAD	szG2cMaKkEtkY-V8dNQQU	l7GRxwpdjcWv8LSz2BlmV	cpyUkkJaPgvNbUQCb_z6e	Cghd2DGqBZpvfmqwFmd8z	bnWTWmxoqfafNDOrwqYVT	Adcwz0bdXvk6dvSCeN9xB	K7jbH86jW3DOVC9ElLn4z	A6WOvkJ7iVzFiSp6uftqC	8G9Iy7Dtj6ksL1ikYVmEp	createdAt	modifiedAt	createdBy	modifiedBy	isDeleted	todayTask	isMarked
127	25599	HKF001	HK FINE HONGDA TECHNOLOGY CO.	LIMITED	37 Penn Drive	2025-08-19 00:00:00	Net 30	SURJIT SINGH	1238		[{"EWdBSDlm185GKpbReyvAx": "228", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "AISI 4140, Hardened", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "N", "hnzgiQph-MXpYA4bowCiI": "10", "m0XNzT9VELdAFFKfXZAYa": "53.8", "K7jbH86jW3DOVC9ElLn4z": "538", "y-8t3wTX5XUkrbbE3ZHpi": "2025-04-09 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005632-0"}, {"EWdBSDlm185GKpbReyvAx": "229", "hhV29UwNDr85bFxTpw0pK": "2", "Gx1FM5LN2nct-_fLeLn63": "15 left hand roller rest", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "N", "hnzgiQph-MXpYA4bowCiI": "5", "m0XNzT9VELdAFFKfXZAYa": "117", "K7jbH86jW3DOVC9ElLn4z": "585", "y-8t3wTX5XUkrbbE3ZHpi": "2025-04-09 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005632-0"}, {"EWdBSDlm185GKpbReyvAx": "230", "hhV29UwNDr85bFxTpw0pK": "3", "Gx1FM5LN2nct-_fLeLn63": "SHIPPING COST", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "N", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "115", "K7jbH86jW3DOVC9ElLn4z": "115", "y-8t3wTX5XUkrbbE3ZHpi": "2025-04-09 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005632-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
128	25600	ADV009	ADVANCED SYSTEMS LTD (USD)	4936 YONGE ST #301	37 Penn Drive	2025-08-19 00:00:00	NET 45 DAYS	SURJIT SINGH	550		[{"EWdBSDlm185GKpbReyvAx": "231", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "Add a function key to PO", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "N", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "550", "K7jbH86jW3DOVC9ElLn4z": "550", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-22 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-008850-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
129	25605	ADS001	ADS APPLICATION DEVELOPMENT	Systems	37 Penn Drive	2025-08-19 00:00:00	NET 45 DAYS	SURJIT SINGH	550		[{"EWdBSDlm185GKpbReyvAx": "232", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "Add a function key to the PO", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "N", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "550", "K7jbH86jW3DOVC9ElLn4z": "550", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-22 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-008850-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
130	25606	AP001	APPLIED INDUSTRIAL TECHNOLOGIE	124 OAKDALE ROAD	37 Penn Drive	2025-08-19 00:00:00	Net 30	SURJIT SINGH	28.78		[{"EWdBSDlm185GKpbReyvAx": "233", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "CR SEAL SKF 5068", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "3", "m0XNzT9VELdAFFKfXZAYa": "8.49", "K7jbH86jW3DOVC9ElLn4z": "25.47", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-21 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005632-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
131	25607	MCM001	MCMASTER -CARR	200 NEW CANTON WAY	37 Penn Drive	2025-08-19 00:00:00	NET 45 DAYS	SURJIT SINGH	169.85		[{"EWdBSDlm185GKpbReyvAx": "234", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "DEBURR CLEANING BRUSH", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "6", "m0XNzT9VELdAFFKfXZAYa": "22.74", "K7jbH86jW3DOVC9ElLn4z": "136.44", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-20 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005880-0"}, {"EWdBSDlm185GKpbReyvAx": "235", "hhV29UwNDr85bFxTpw0pK": "2", "Gx1FM5LN2nct-_fLeLn63": "SHIPPING CHARGES", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "13.87", "K7jbH86jW3DOVC9ElLn4z": "13.87", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-20 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005880-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
132	25608	TRY001	TRYHARD INDUSTRIAL SUPPLY LTD.	1411 COURTNEYPARK DRIVE	37 Penn Drive	2025-08-19 00:00:00	NET 45 DAYS	SURJIT SINGH	1795.12		[{"EWdBSDlm185GKpbReyvAx": "236", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "DRILL SIZE 3.30 MM", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "100", "m0XNzT9VELdAFFKfXZAYa": "15.89", "K7jbH86jW3DOVC9ElLn4z": "1588.6", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-29 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005880-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
133	25609	DET001	DETROIT AUTOMATIC TOOLING INC	12275 HURON RIVER DRIVE	37 Penn Drive	2025-08-19 00:00:00	NET 45 DAYS	SURJIT SINGH	296		[{"EWdBSDlm185GKpbReyvAx": "237", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "CAGE PUSHERS SIZE 25/64 HEX", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "N", "hnzgiQph-MXpYA4bowCiI": "8", "m0XNzT9VELdAFFKfXZAYa": "37", "K7jbH86jW3DOVC9ElLn4z": "296", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-09 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005920-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
134	25610	PRE001	PRECISION COMPONENTS	220 Pritchard Road	37 Penn Drive	2025-08-19 00:00:00	NET 45 DAYS	SURJIT SINGH	375.84		[{"EWdBSDlm185GKpbReyvAx": "238", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "INSERTS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "10", "m0XNzT9VELdAFFKfXZAYa": "33.26", "K7jbH86jW3DOVC9ElLn4z": "332.6", "y-8t3wTX5XUkrbbE3ZHpi": "2025-10-09 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005846-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
135	25611	PRE001	PRECISION COMPONENTS	220 Pritchard Road	37 Penn Drive	2025-08-19 00:00:00	NET 45 DAYS	NADIA	787.61		[{"EWdBSDlm185GKpbReyvAx": "239", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "Insert", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "10", "m0XNzT9VELdAFFKfXZAYa": "42.5", "K7jbH86jW3DOVC9ElLn4z": "425", "y-8t3wTX5XUkrbbE3ZHpi": "2025-12-09 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005846-0"}, {"EWdBSDlm185GKpbReyvAx": "240", "hhV29UwNDr85bFxTpw0pK": "2", "Gx1FM5LN2nct-_fLeLn63": "Holder", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "225", "K7jbH86jW3DOVC9ElLn4z": "225", "y-8t3wTX5XUkrbbE3ZHpi": "2025-12-09 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005830-0"}, {"EWdBSDlm185GKpbReyvAx": "241", "hhV29UwNDr85bFxTpw0pK": "3", "Gx1FM5LN2nct-_fLeLn63": "Support PADS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "2", "m0XNzT9VELdAFFKfXZAYa": "23.5", "K7jbH86jW3DOVC9ElLn4z": "47", "y-8t3wTX5XUkrbbE3ZHpi": "2025-12-09 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005846-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
136	25613	MET002	METEX HEAT TREATING LTD.	225,Wilkinson Road,	37 Penn Drive	2025-08-20 00:00:00	NET 45 DAYS		200		[{"EWdBSDlm185GKpbReyvAx": "242", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "Rush Premoum cost $200", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "N", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "200", "K7jbH86jW3DOVC9ElLn4z": "200", "y-8t3wTX5XUkrbbE3ZHpi": "2024-08-21 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-001440-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
137	25614	CHA001	CHAMPION SCREW PRODUCTS	30419 BECK ROAD	37 Penn Drive	2025-08-20 00:00:00	NET 45 DAYS	SURJIT SINGH	543		[{"EWdBSDlm185GKpbReyvAx": "243", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "BEARING SERVICE KIT", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "N", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "536", "K7jbH86jW3DOVC9ElLn4z": "536", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-22 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005637-0"}, {"EWdBSDlm185GKpbReyvAx": "244", "hhV29UwNDr85bFxTpw0pK": "2", "Gx1FM5LN2nct-_fLeLn63": "SEAL SERVICE KIT", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "N", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "7", "K7jbH86jW3DOVC9ElLn4z": "7", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-22 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005637-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
138	25615	CHA001	CHAMPION SCREW PRODUCTS	30419 BECK ROAD	37 Penn Drive	2025-08-20 00:00:00	NET 45 DAYS	SURJIT SINGH	150		[{"EWdBSDlm185GKpbReyvAx": "245", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "COLLETS SIZE 11/32 ROUND", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "N", "hnzgiQph-MXpYA4bowCiI": "3", "m0XNzT9VELdAFFKfXZAYa": "50", "K7jbH86jW3DOVC9ElLn4z": "150", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-22 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005920-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
139	25616	PRE001	PRECISION COMPONENTS	220 Pritchard Road	37 Penn Drive	2025-08-20 00:00:00	NET 45 DAYS	SURJIT SINGH	422.06		[{"EWdBSDlm185GKpbReyvAx": "246", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "INSERTS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "10", "m0XNzT9VELdAFFKfXZAYa": "37.35", "K7jbH86jW3DOVC9ElLn4z": "373.5", "y-8t3wTX5XUkrbbE3ZHpi": "2025-10-09 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005846-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
140	25617	ROT001	ROTEM INDUSTRIAL PRODUCTS INC.	46, BRYDON DRIVE	37 Penn Drive	2025-08-20 00:00:00	NET 45 DAYS	SURJIT SINGH	364.99		[{"EWdBSDlm185GKpbReyvAx": "247", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "TRIM SOL SILICONE FREE", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "298", "K7jbH86jW3DOVC9ElLn4z": "298", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-26 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005852-0"}, {"EWdBSDlm185GKpbReyvAx": "248", "hhV29UwNDr85bFxTpw0pK": "2", "Gx1FM5LN2nct-_fLeLn63": "SHIPPING CHARGES", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "25", "K7jbH86jW3DOVC9ElLn4z": "25", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-26 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005852-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
141	25618	AZT001	AZTEC ELECTRICAL SUPPLY	25 NORTH RIVERMADE	37 Penn Drive	2025-08-20 00:00:00	NET 45 DAYS	SURJIT SINGH	81		[{"EWdBSDlm185GKpbReyvAx": "249", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "PROXIMITY SENSOR", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "71.68", "K7jbH86jW3DOVC9ElLn4z": "71.68", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-25 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005638-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
142	25619	ONT003	ONTARIO BELTING & POWER	TRANSMISSION CO. LTD	37 Penn Drive	2025-08-20 00:00:00	NET 45 DAYS	SURJIT SINGH	74.47		[{"EWdBSDlm185GKpbReyvAx": "250", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "BEARING # 6207 2RSNR", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "2", "m0XNzT9VELdAFFKfXZAYa": "32.95", "K7jbH86jW3DOVC9ElLn4z": "65.9", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-22 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005637-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
143	25620	ULI001	ULINE	2425 MATHESON BLVD.EAST	37 Penn Drive	2025-08-20 00:00:00	NET 45 DAYS	SURJIT SINGH	71.19		[{"EWdBSDlm185GKpbReyvAx": "251", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "LAVO PRO 6 DISINFECTING BLEACH", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "6", "m0XNzT9VELdAFFKfXZAYa": "6.5", "K7jbH86jW3DOVC9ElLn4z": "39", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-21 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005591-0"}, {"EWdBSDlm185GKpbReyvAx": "252", "hhV29UwNDr85bFxTpw0pK": "2", "Gx1FM5LN2nct-_fLeLn63": "HAIRNET POLY CAP", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "3", "m0XNzT9VELdAFFKfXZAYa": "8", "K7jbH86jW3DOVC9ElLn4z": "24", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-21 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005593-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
144	25621	WOO001	WOOD WYANT INC.	190 ANNAGEM BLVD	37 Penn Drive	2025-08-20 00:00:00	NET 45 DAYS	SURJIT SINGH	302.52		[{"EWdBSDlm185GKpbReyvAx": "253", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "GENERATION 5 PLUS CLEANER", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "2", "m0XNzT9VELdAFFKfXZAYa": "80.59", "K7jbH86jW3DOVC9ElLn4z": "161.18", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-25 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005670-0"}, {"EWdBSDlm185GKpbReyvAx": "254", "hhV29UwNDr85bFxTpw0pK": "2", "Gx1FM5LN2nct-_fLeLn63": "WHIRLAWAY CLEANER", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "6", "m0XNzT9VELdAFFKfXZAYa": "16.59", "K7jbH86jW3DOVC9ElLn4z": "99.54", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-25 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005670-0"}, {"EWdBSDlm185GKpbReyvAx": "255", "hhV29UwNDr85bFxTpw0pK": "3", "Gx1FM5LN2nct-_fLeLn63": "FUEL SURCHARGE", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "7", "K7jbH86jW3DOVC9ElLn4z": "7", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-25 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005670-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
145	25622	T&T001	T&T INDUSTRIAL SUPPLIES LTD	51 ROYSUN ROAD	37 Penn Drive	2025-08-20 00:00:00	NET 45 DAYS	SURJIT SINGH	61.92		[{"EWdBSDlm185GKpbReyvAx": "256", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "GARBAGE BAGS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "2", "m0XNzT9VELdAFFKfXZAYa": "27.4", "K7jbH86jW3DOVC9ElLn4z": "54.8", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-22 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005590-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
146	25623	TEA001	TEASDALE CUTTING TOOLS LTD	1076 BARMAC DRIVE	37 Penn Drive	2025-08-20 00:00:00	NET 45 DAYS	NADIA	406.8		[{"EWdBSDlm185GKpbReyvAx": "257", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "Regrinding Comb Twist Drill", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "4", "m0XNzT9VELdAFFKfXZAYa": "90", "K7jbH86jW3DOVC9ElLn4z": "360", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-28 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005880-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
147	25624	WOR002	WORK AUTHORITY	415 THOMPSON DRIVE	37 Penn Drive	2025-08-21 00:00:00	NET 45 DAYS	NADIA	338.97		[{"EWdBSDlm185GKpbReyvAx": "258", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "Safety Shoes size 8 US MEN", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "2", "m0XNzT9VELdAFFKfXZAYa": "99.99", "K7jbH86jW3DOVC9ElLn4z": "199.98", "y-8t3wTX5XUkrbbE3ZHpi": "2025-02-09 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005592-0"}, {"EWdBSDlm185GKpbReyvAx": "259", "hhV29UwNDr85bFxTpw0pK": "2", "Gx1FM5LN2nct-_fLeLn63": "Safety shoes size 11 US MEN", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "99.99", "K7jbH86jW3DOVC9ElLn4z": "99.99", "y-8t3wTX5XUkrbbE3ZHpi": "2025-02-09 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005592-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
148	25625	DGI001	DOALL CANADA INC.	P.O. BOX 56522, STATION A	37 Penn Drive	2025-08-22 00:00:00	NET 45 DAYS	SURJIT SINGH	723.77		[{"EWdBSDlm185GKpbReyvAx": "260", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "CUT OFF INSERTS CARBIDE", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "30", "m0XNzT9VELdAFFKfXZAYa": "21.35", "K7jbH86jW3DOVC9ElLn4z": "640.5", "y-8t3wTX5XUkrbbE3ZHpi": "2025-08-29 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005844-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
149	25626	HKF001	HK FINE HONGDA TECHNOLOGY CO.	LIMITED	37 Penn Drive	2025-08-22 00:00:00	Net 30	SURJIT SINGH	1850		[{"EWdBSDlm185GKpbReyvAx": "261", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "BURNISHING CAGE", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "N", "hnzgiQph-MXpYA4bowCiI": "10", "m0XNzT9VELdAFFKfXZAYa": "185", "K7jbH86jW3DOVC9ElLn4z": "1850", "y-8t3wTX5XUkrbbE3ZHpi": "2025-12-09 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005884-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
150	25627	PRE001	PRECISION COMPONENTS	220 Pritchard Road	37 Penn Drive	2025-08-22 00:00:00	NET 45 DAYS	SURJIT SINGH	1645.28		[{"EWdBSDlm185GKpbReyvAx": "262", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "INSERTS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "50", "m0XNzT9VELdAFFKfXZAYa": "29.12", "K7jbH86jW3DOVC9ElLn4z": "1456", "y-8t3wTX5XUkrbbE3ZHpi": "2025-12-09 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005846-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
